Jannik,11,m
Lennart,11,m
Marc,11,m
Mehmet,11,m
Pepe,11,m
Selim,11,m
Taha,11,m
Viktor,11,m
Amélie,10,w
Angelina,10,w
Ecrin,10,w
Felicitas,10,w
Lynn,10,w
Marleen,10,w
Mayla,10,w
Medina,10,w
Miriam,10,w
Tabea,10,w
Thea,10,w
Viola,10,w
Yaren,10,w
Zoé,10,w
Enno,10,m
Fiete,10,m
Gustav,10,m
Hans,10,m
Hüseyin,10,m
Ilyas,10,m
James,10,m
Jean,10,m
Joachim,10,m
Kilian,10,m
Manuel,10,m
Nicolas,10,m
Oliver,10,m
Rafael,10,m
Ryan,10,m
Severin,10,m
Toni,10,m
Yasin,10,m
Aurelia,9,w
Aurora,9,w
Emely,9,w
Estelle,9,w
Isabell,9,w
Jolina,9,w
Karlotta,9,w
Marta,9,w
Melody,9,w
Merle,9,w
Nicole,9,w
Samira,9,w
Ahmet,9,m
Amin,9,m
Aras,9,m
Arda,9,m
Bela,9,m
Carlo,9,m
Christoph,9,m
Dario,9,m
Enes,9,m
Eric,9,m
Fabio,9,m
Halil,9,m
Lionel,9,m
Ludwig,9,m
Magnus,9,m
Malte,9,m
Maurice,9,m
Omar,9,m
Rayan,9,m
Ada,8,w
Ayşe,8,w
Celina,8,w
Dilara,8,w
Dorothea,8,w
Lavin,8,w
Liah,8,w
Linn,8,w
Liv,8,w
Luana,8,w
Mathilde,8,w
Mona,8,w
Sina,8,w
Valeria,8,w
Veronika,8,w
Andre,8,m
André,8,m
Arne,8,m
Christopher,8,m
Eduard,8,m
Emanuel,8,m
Jack,8,m
Jannes,8,m
Janosch,8,m
Kaspar,8,m
Kerem,8,m
Kevin,8,m
Konrad,8,m
Lenn,8,m
Leonidas,8,m
Mario,8,m
Marvin,8,m
Mattis,8,m
Mike,8,m
Mohammed,8,m
Niko,8,m
Phillip,8,m
Rudolf,8,m
Alicia,7,w
Amira,7,w
Anne,7,w
Anni,7,w
Ayla,7,w
Ceyda,7,w
Claire,7,w
Elli,7,w
Elsa,7,w
Emmi,7,w
Fatima,7,w
Giada,7,w
Grace,7,w
Henriette,7,w
Ingrid,7,w
Joleen,7,w
Joline,7,w
Juli,7,w
Karolina,7,w
Kiara,7,w
Leah,7,w
Leandra,7,w
Lilith,7,w
Lorena,7,w
Luzie,7,w
Malia,7,w
Malin,7,w
Naz,7,w
Nelly,7,w
Noemi,7,w
Ronja,7,w
Rosalie,7,w
Soraya,7,w
Talia,7,w
Yasmin,7,w
Zoey,7,w
Albert,7,m
Arian,7,m
Bastian,7,m
Cihan,7,m
Dean,7,m
Dennis,7,m
Diego,7,m
Emirhan,7,m
Eray,7,m
Francesco,7,m
Frederick,7,m
Hermann,7,m
Ilias,7,m
Jacob,7,m
Joseph,7,m
Julien,7,m
Kalle,7,m
Kurt,7,m
Lion,7,m
Lou,7,m
Markus,7,m
Melih,7,m
Miran,7,m
Nikita,7,m
Onur,7,m
Otto,7,m
Pascal,7,m
Patrick,7,m
Sami,7,m
Til,7,m
Wolfgang,7,m
Yiğit,7,m
Youssef,7,m
Alexa,6,w
Alyssa,6,w
Annabell,6,w
Asya,6,w
Carolin,6,w
Ceylin,6,w
Cheyenne,6,w
Christin,6,w
Claudia,6,w
Cleo,6,w
Dana,6,w
Daria,6,w
Defne,6,w
Elaine,6,w
Elin,6,w
Erva,6,w
Esra,6,w
Fatma,6,w
Felicia,6,w
Flora,6,w
Franka,6,w
Gloria,6,w
Hatice,6,w
Hira,6,w
Jessica,6,w
Jolie,6,w
Jonna,6,w
Juliane,6,w
Juna,6,w
Juno,6,w
Karla,6,w
Khadija,6,w
Kiana,6,w
Layla,6,w
Lene,6,w
Letizia,6,w
Lili,6,w
Livia,6,w
Marlena,6,w
Miray,6,w
Monika,6,w
Nour,6,w
Rebecca,6,w
Ruth,6,w
Samantha,6,w
Selena,6,w
Tamara,6,w
Teresa,6,w
Tessa,6,w
Yuna,6,w
Alex,6,m
Amir,6,m
Azad,6,m
Balthasar,6,m
Batuhan,6,m
Bilal,6,m
Bjarne,6,m
Burhan,6,m
Casper,6,m
Dominik,6,m
Enrico,6,m
Falk,6,m
Heinrich,6,m
İsmail,6,m
Jamie,6,m
Jeremy,6,m
Juri,6,m
Karim,6,m
Kemal,6,m
Luke,6,m
Léon,6,m
Marco,6,m
Maria,6,m
Marian,6,m
Mark,6,m
Marten,6,m
Nikolas,6,m
Rio,6,m
Sinan,6,m
Talha,6,m
Tyler,6,m
Umut,6,m
Vincenzo,6,m
Walter,6,m
Yannik,6,m
Aaliyah,5,w
Adriana,5,w
Alena,5,w
Amara,5,w
Anisa,5,w
Annemarie,5,w
Anouk,5,w
Belinay,5,w
Bella,5,w
Beyza,5,w
Caroline,5,w
Catharina,5,w
Celine,5,w
Chanel,5,w
Charlotta,5,w
Delia,5,w
Ece,5,w
Eda,5,w
Edith,5,w
Enya,5,w
Eslem,5,w
Esther,5,w
Fenja,5,w
Filippa,5,w
Florentine,5,w
Friederike,5,w
Giuliana,5,w
Hacer,5,w
Helen,5,w
Helin,5,w
Hilal,5,w
Ines,5,w
Kate,5,w
Kaur,5,w
Kim,5,w
Kimberly,5,w
Käthe,5,w
Lenja,5,w
Lilia,5,w
Liliana,5,w
Adriano,5,m
Lorin,5,w
Anas,5,m
Madeleine,5,w
Antonius,5,m
Madita,5,w
Artur,5,m
Malou,5,w
August,5,m
Melis,5,w
Batu,5,m
Merve,5,w
Cemal,5,m
Meyra,5,w
Colin,5,m
Minou,5,w
Conner,5,m
Nadine,5,w
Connor,5,m
Nia,5,w
Darian,5,m
Nika,5,w
Davide,5,m
Nike,5,w
Denis,5,m
Philine,5,w
Devran,5,m
Rania,5,w
Elian,5,m
Sinem,5,w
Ernst,5,m
Susanna,5,w
Fernando,5,m
Vivien,5,w
Frederic,5,m
Zaynab,5,w
Furkan,5,m
Heinz,5,m
Helmut,5,m
Henning,5,m
Ian,5,m
Ilay,5,m
Jaden,5,m
Jamal,5,m
Jerome,5,m
Juliano,5,m
Kasper,5,m
Keanu,5,m
Kuzey,5,m
Lenny,5,m
Lewis,5,m
Lorenzo,5,m
Luk,5,m
Luka,5,m
Mads,5,m
Marley,5,m
Miguel,5,m
Mio,5,m
Mohammad,5,m
Nathan,5,m
Necati,5,m
Noam,5,m
Nuri,5,m
Osman,5,m
Pierre,5,m
René,5,m
Ricardo,5,m
Roman,5,m
Said,5,m
Salvatore,5,m
Santino,5,m
Sascha,5,m
Stephan,5,m
Taylan,5,m
Thiago,5,m
Timur,5,m
Tyron,5,m
Ulrich,5,m
Yassin,5,m
Younes,5,m
Adele,4,w
Agnes,4,w
Alisha,4,w
Alissa,4,w
Amanda,4,w
Amilia,4,w
Ashley,4,w
Barbara,4,w
Beren,4,w
Ceren,4,w
Daniela,4,w
Davina,4,w
Derin,4,w
Edda,4,w
Elea,4,w
Eleni,4,w
Eleonora,4,w
Ellen,4,w
Emelie,4,w
Emina,4,w
Enie,4,w
Esila,4,w
Evelyn,4,w
Freya,4,w
Gabriella,4,w
Gertrud,4,w
Gisela,4,w
Heidi,4,w
Hiba,4,w
Holly,4,w
Inga,4,w
Jette,4,w
Joy,4,w
Judith,4,w
Julika,4,w
Julina,4,w
Karin,4,w
Katerina,4,w
Kira,4,w
Laila,4,w
Leona,4,w
Lilian,4,w
Lilo,4,w
Lola,4,w
Adem,4,m
Luzia,4,w
Adnan,4,m
Lya,4,w
Aiden,4,m
Malak,4,w
Alan,4,m
Mariam,4,w
Albrecht,4,m
Mariella,4,w
Alexandre,4,m
Marit,4,w
Alp,4,m
Marlen,4,w
Alper,4,m
Mathea,4,w
Amadeus,4,m
Melisa,4,w
Anthony,4,m
Melodi,4,w
Ari,4,m
Meylin,4,w
Armin,4,m
Morena,4,w
Ayaz,4,m
Nas,4,w
Baran,4,m
Natalia,4,w
Benno,4,m
Nayla,4,w
Bent,4,m
Rana,4,w
Bernd,4,m
Selma,4,w
Bo,4,m
Sena,4,w
Burak,4,m
Serena,4,w
Béla,4,m
Svenja,4,w
Bünyamin,4,m
Toni,4,w
Damien,4,m
Valerie,4,w
Devin,4,m
Vera,4,w
Ege,4,m
Yara,4,w
Egemen,4,m
Zahra,4,w
Elijah,4,m
Zara,4,w
Fares,4,m
Zeliha,4,w
Felipe,4,m
Filip,4,m
Gerhard,4,m
Gianluca,4,m
Gianni,4,m
Gioele,4,m
Hasan,4,m
Herbert,4,m
İbrahim,4,m
Ilja,4,m
İlyas,4,m
Ishak,4,m
Ismail,4,m
Jermaine,4,m
Joschua,4,m
Justin,4,m
Kasimir,4,m
Kayra,4,m
Kenan,4,m
Kiyan,4,m
Kjell,4,m
Konstantinos,4,m
Laurin,4,m
Leonhard,4,m
Lino,4,m
Lio,4,m
Louie,4,m
Luan,4,m
Luuk,4,m
Mahir,4,m
Maik,4,m
Marcello,4,m
Mathias,4,m
Matthis,4,m
Miraç,4,m
Miro,4,m
Mirza,4,m
Nathanael,4,m
Nicklas,4,m
Nikolaus,4,m
Poyraz,4,m
Prince,4,m
Quentin,4,m
Quinn,4,m
Rasmus,4,m
Romeo,4,m
Ruben,4,m
Siegfried,4,m
Taylor,4,m
Tiberius,4,m
Timon,4,m
Tony,4,m
Valentino,4,m
Willem,4,m
Willi,4,m
Willy,4,m
Wim,4,m
Yahya,4,m
Yassine,4,m
Yunus,4,m
Zakaria,4,m
Abigail,3,w
Alara,3,w
Alea,3,w
Aleksandra,3,w
Aleyna,3,w
Alice,3,w
Alisa,3,w
Aliya,3,w
Amine,3,w
Andrea,3,w
Angela,3,w
Angelika,3,w
Anika,3,w
Annabel,3,w
Annabella,3,w
Annabelle,3,w
Annalena,3,w
Annastasia,3,w
Asmin,3,w
Avissa,3,w
Ayleen,3,w
Bahar,3,w
Berfin,3,w
Birgit,3,w
Cemre,3,w
Christiane,3,w
Coco,3,w
Concetta,3,w
Cornelia,3,w
Dagmar,3,w
Dalia,3,w
Damla,3,w
Deniz,3,w
Dila,3,w
Dilay,3,w
Duygu,3,w
Edanur,3,w
Eliana,3,w
Elissa,3,w
Eliza,3,w
Elly,3,w
Elçin,3,w
Emmy,3,w
Enna,3,w
Esmanur,3,w
Estefania,3,w
Evelin,3,w
Eylül,3,w
Felia,3,w
Feyza,3,w
Fine,3,w
Francesca,3,w
Gabriela,3,w
Gamze,3,w
Gina,3,w
Giuseppina,3,w
Gül,3,w
Habibe,3,w
Hana,3,w
Hazal,3,w
Ilayda,3,w
Alejandro,3,m
Ilona,3,w
Alexandru,3,m
Ina,3,w
Amar,3,m
İnci,3,w
Ammar,3,m
Ioanna,3,w
Ario,3,m
Irma,3,w
Armando,3,m
Iva,3,w
Arvid,3,m
Ivy,3,w
Aurel,3,m
Janne,3,w
Ayhan,3,m
Jara,3,w
Ayoub,3,m
Jennifer,3,w
Aziz,3,m
Joana,3,w
Bartu,3,m
Jona,3,w
Bayram,3,m
Josefina,3,w
Berkay,3,m
Jula,3,w
Bernard,3,m
Juliette,3,w
Björn,3,m
Karina,3,w
Bosse,3,m
Kübra,3,w
Calvin,3,m
Lale,3,w
Carsten,3,m
Larissa,3,w
Charles,3,m
Leya,3,w
Charlie,3,m
