Aladin
Alex = der Schützende
Alpha
Alvin = einer der Chipmunks
Amigo = Freund (span.)
Anakin = Gigant (hebr.); Krieger (sanskrit)
Apollo = Gott der Musik
Aramis = einer der drei Musketiere
Archie = der wahrhaft Mutige
Bailey
Balu
Bandit
Benny
Blacky
Bolle = große Zwiebel (althochdeutsch)
Bommel
Boomer
Brösel
Brownie
Bruce
Buddy = Freund, Kumpel (engl.)
Buster
Butch
Captain
Casey = der Wachsame
Casimir = Schatzmeister (arabisch)
Caspar = Schatzmeister (persisch)
Charlie
Chase = jagen, suchen (engl.)
Chico = Junge (span.)
Cookie = Keks (englisch)
Cooper
Danny
Dino = der Starke, der Mutige
Django
Doc
Duke = Herzog (engl.)
Eddy
Einstein
Elliot
Elton
Elvis
Felix = der Glücklich (lateinisch)
Fiete
Finley = blonder Krieger (irisch)
Fips
Flash
Fozzie
Frankie = frei, tapfer (althochdeutsch)
Freddy
Fussel
Gandalf
Garfield
Gizmo
Gonzo
Goofy = tollpatschig (englisch)
Grizzly
Gromit
Hannibal
Harley
Hayden (gesprochen Häidn)
Herbie
Hulk
Hunter = Jäger (engl.)
Iggy
Jake
Karlo
Kasimir = der Friedensstifter (slawisch)
Keanu
Kermit
Kimba
Lakota = Freund (indianisch; Sioux)
Lassie
Leo
Littlefoot = kleiner Fuß (engl.)
Lucky = glückbringend (englisch)
Manni
Marshmallow
Micky
Monty
Mozart
Murphy = Seehund, Seekriger (gälisch)
Nemo
Neo = der Wiedergeborene (altägyptisch)
Newton
Nicky
Nino
Ozzie
Pablo = der Kleine (spanisch)
Pedro = Fels, Stein
Pepe
Peppino
Percy
Pino
Rambo
Rémy
Rocky
Rufus = der Rote (lat.)
Rusty = rostfarben (engl.)
Salem = Frieden (von Schalom; hebräisch)
Sammy
Scooter = Motorroller (engl.)
Shadow = Schatten (engl.)
Shaun
Sheriff
Sherlock
Silvester
Simba = der Löwe (suaheli)
Sindbad
Snoopy = Schnüffler (engl.)
Socke
Sonic = Schall (engl.)
Sparky = lebhaft (engl.)
Speedy
Struppi
Sunny
Sweety
Tarzan
Teddy
Timmy
Toby
Tommy
Tony
Tucker
Tweety
Woody
Yoda
Yonah = Taube (indianisch)
Yoshi
Zottel
